@relation opinion
@attribute sentence string
@attribute category {positive,negative,neutral,objective}
@attribute numberOfPositiveWords integer
@attribute numberOfNegativeWords integer
@attribute numberOfNeutralWords integer
@data
' jesus, cvs, mom & mary...i kick flu 1 week! w/out maryjane monday! #struggles ',positive,0,1,0
' apple ceo: outsourcing mapping apps china. ur @ bout bring manufacturing jobs back. ',neutral,0,0,0
' @geesblackhair god cant brfeathe wdswkiademj dotn calmdmm :0 :d :/]( ',positive,0,0,0
' @923nowfm @jenniferhudson jennifer hudson 26th street great!! super skinny ',positive,1,0,0
' #longharryimagine #imagine friday night find watching notebook, again. (cont) ',neutral,0,0,0
' nfl commissioner roger goodell cancel pro bowl: care pro bowl? ',negative,3,0,0
' join phil november 8 better software east conference orlando hell speaking to... ',neutral,1,1,0
' pacino play paterno bio film coming soon. will mark pacinos 2nd film phrase, "say hello friend." ',objective,1,0,0
' swear tomorrow niner fans start tweeting kyle williams tomorrow, best gonna check. ',negative,1,1,0
' recap. bad 25 tuesday. spike lee documentary michael jackson. amazing. && showing 6 days. ',positive,0,1,0
' @adamlambert omfg adam lambert nominated 3 grammies!!!!!!!!!!!!!!!!!!!!! <3 ',neutral,0,0,0
' harry styles rocking lyle scott. 10...but honest, life.. @lyle_and_scott pic.twitter.com/w8j9stx1 ',positive,0,0,0
' experiencing issues fuel tv (ch 39). friday monday. ',negative,0,0,0
' blog post: vice president joe biden top ten list cbss "late david letterman," thursday,... ',objective,1,1,0
' kpop: will psy korean win grammy?: psy qualify upcoming grammy awards. gangnam sty... ',positive,2,0,0
' sticks stones break bones, rugby better! ',positive,0,1,0
' blame br? spunked cash. refused spend more. ',negative,0,1,0
' rumor: #blackhawks traded niklas hjalmarsson #oilers sam gagner. stay tuned. ',objective,0,0,0
' visit #iran euro mps called sat tehran refused meet jailed activist ',negative,0,0,1
' #linsanity"@espnstatsinfo: jeremy lin +23 rockets debut. 2nd-best plus-minus game career." ',positive,0,1,0
' @richardwakile station running gas bad. ! ',positive,0,0,0
' indianapolis tomorrow swing macys castelton mall 5:30-7:30. ill signing autographs pictures! ',positive,0,1,1
' @rbusch17: anaheim ducks interested sam gagner edmonton oilers. trade ducks 1st round pick ',objective,1,0,0
' wait @fancystepdad boys @theprincerupert @jakecausey friday athens! ',positive,0,0,0
' long princeton (and diggy) #imagine : happy valentines day (yn)... february 14 9 @nounouche10 ',positive,1,1,0
' hey daryl! great connecting anti #fracking colorado. excited issue. deadline nov 15th. @dhlovelife ',positive,2,0,0
' @bucksadschool morning homeless men evening charles dickenss great great granddaughter standard day 1st yrs bucksadschool ',neutral,2,0,0
' full, part-time job internship offer? know! signing day tomorrow lbjsc amphitheater-tell will work! ',objective,1,0,0
' niggas 10th grade shit tonight ',negative,0,0,0
' toi israel admits 1988 killing arafats deputy: israel time thursday admitted responsibility... ',negative,0,0,0
' friday night threat signal dickens! awesome night!!! ',positive,1,1,0
' @nery_lr lol saturday yeah :3 ',positive,0,0,1
' excited trunk treat tomorrow (nov 2) night boys girls club pottstown. will start at... ',positive,3,0,0
' #sexy comment about: theeuropeandream indianapolis: friday-sunday! ',positive,0,0,1
' #steelernation send boys 2 2013 nfl pro bowl. @nfl ur vote counts, nov 6th election. ',neutral,1,0,0
' ive denzel washington movie flight @itsjustinmartin ! kid ! theatre tomorrow ! ',positive,1,0,0
' love michael jacksons 8th nose .. youll understand ',neutral,2,0,0
' join sia trek treat, october 27th! fundraiser safe house! ',objective,1,0,0
' lot candy left tomorrow :) ',positive,0,0,0
' buffalo bills kyle williams misses practice thursday: second straight day, buffalo bills... #bills #nfl ',negative,1,0,0
' hey guys tomorrow national ground hog day, hope post it!! hahahaha ',positive,1,0,0
' @hollypaterson_x playing temple earlier, thinkin 6th year xo ',neutral,0,0,0
' shit bar!.. arm stamped! wake tomorrow prints arm twat! ',negative,0,0,0
' apple software, retail chiefs overhaul: san francisco (reuters) - apple ceo tim cook monday replaced heads s... ',objective,0,0,0
' #loanwatch: ben amos doubt tonights hull city game doncaster (2nd round league cup), groin problem. ',negative,0,2,0
' wow...sounds junior well! ',neutral,0,0,0
' do!! "@waterbearer131: @tanycoutur3_ @northernbeauty_ guys denzel washington movie tomorrow?" ',positive,0,0,0
' @zachjayl candy till monday. (by stupidity) sick person meow. .-. ',negative,0,1,0
' jay paterno, penn state assistant football coach son joe paterno, sunday night event a... ',neutral,0,0,0
' @kvaldez10 kaaaaarrraaa... =)) ',positive,0,0,0
' 1st volkswagen "twat" today. jetta, lose j, spell teat, turn sideways ',neutral,0,1,0
' well thursday morning @taylorswift13 won safe sound duet @thecivilwars!!! ',neutral,3,0,0
' @coverdog5 @piper1013 @jukakooikerjack ras sparky evidence birthday steak peas gravy! ',neutral,0,0,0
' rafa injury best year 1st race... :( #m6 ',negative,1,1,0
' @jamesduffy01 others...jenelle mistakes time change better person...its late you...fuckhead ',negative,1,1,0
' jenelle tomorrow. watch netflix eat mac & cheese with.. ',neutral,0,0,0
' halloween third biggest party day year years eve super bowl sunday ',positive,1,0,0
' cheaper carbon replaces silicon solar panels: tweet washington, nov 1 (ians) researchers built first... ',neutral,0,0,0
' ill loving jennette 31st feb. february 28 days doesnt count. <3 ',positive,0,1,0
' inter, roma keep pace wins: inter milan pace serie leaders juventus catania 2-0 san siro sunday. ',neutral,0,0,0
' awesome wedding shoot amsterdam today, excited fot saturday castle utrecht... previews coming soon.... ',positive,2,0,0
' mitch daniels stephen colbert purdue hat thursdays show... hope burns raging flame glory ',positive,3,1,0
' watching denzel washington talking movie flight comming nov 2nd 2012 #lateshow david letterman ',objective,0,0,0
' @maherzain: dr mohamed morsi announced egypts 1st elected president glorious 25th jan revolution. congratulations #egypt ',positive,2,0,0
' piss easy job analysing motd2. repeat gary neville super sunday. ',positive,2,0,0
' going finish watching vow tomorrow , cute movie c: ',positive,2,0,0
' music picks: r. kelly, leonard cohen, cat power: fri 11/2 grace potter & nocturnals wiltern should... ',neutral,1,0,0
' close eyes sun going youll alright hurt morning light ill safe sound #np ',positive,3,3,0
' proper buzzing watch vow @_courtssx tomorrow;) ',positive,2,0,0
' 3rd mariah song night nooooooooo. bad. #xfactor ',negative,0,0,0
' noel gallaghers hfb kopparberg damn perfect saturday evening. 100% perfect noel gig. ',positive,2,1,0
' tomorrow opportunity love continues @ boys & girls club (123 jefferson). meet 10am, w/ boots gloves possible. ',positive,2,0,0
' excited gonna meet buddy cake boss ruth eckerd hall grammy jan 12. cant wait !!!! pic.twitter.com/mi1trulp ',positive,1,0,0
' read charles dickens homework greatest thing ',positive,1,0,0
' hit #doghouse candidates tonights show. best tweets hit air 10:30 ',negative,1,0,1
' slept 6 afternoon yesterday, ive woken up. awesome. ',negative,0,0,0
' pacino play paterno psu movie. itll 2nd movie career w/ phrase "say hello friend." #scarfacial ',neutral,0,0,0
' @mrzsully4lyfe hope aint tweetn live alaska ',positive,2,0,0
' @edwardsali32 boots mate, v.handy today!! ',positive,0,0,0
' gon victor cruz real deal lines outside, slot, doesnt disappear sunday ',negative,2,0,0
' watch will ferrell zach galifanakis duke campaign thursday midnight! ',objective,1,0,0
' steelers will travel york sunday giants game: pittsburgh steelers face york giants ... ',objective,1,0,2
' @reaganpitt movie day grammys hot chocolate tomorrow... #pleaseohplease ',positive,1,0,0
' niggas boutta droppin flies georgetown tomorrow , catchh ! ',negative,0,0,0
' hackers defeated windows 8, readwrite mobile ranked 5th interface design, ios android. ',negative,0,0,0
' kobe isnt rocking purse european.............. ',objective,0,0,0
' heard crush going bell game tomorrow wanna talk? wtf? :o #weird ',negative,0,2,0
' nikon photographers there, brace awesome tomorrow blog. team canon, epic! ',positive,1,0,0
' watch denzels movie tomorrow! meeeeeeeeeee. ',objective,0,0,0
' watching 2nd punisher. quentin tarentino directing thomas jane castle ',positive,0,0,0
' downloading versions greek alphabet song listen repeat thursday night.. life now.. ',objective,0,0,0
' buzzer beater jump shot parker. primetime thursday game...no happen! great nba?!?! ',neutral,1,0,0
' guarantee gaga debuts single grammys february. opposed agesssss away. ',neutral,1,1,0
' fed beige book: fiscal cliff concerns huring retail sales. weak spending loan demand steady. mixed report. #economy $$ ',positive,0,2,0
' aboud el zomour, guy killed sadat, attending october 6 celebrations cairo stadium." shame!!!! ',negative,0,0,0
' australia day #t20 international kick-start ultimate australia day long weekend @anzstadium sat 26 jan: ',objective,1,1,0
' ugh going athens saturday night. friday! ',negative,0,1,0
' spartacus 2.0 sauna...imma sore tomorrow worth ',positive,1,1,0
' storm will moving inland cny tomorrow. ill worried family. living oneida lake. ',negative,2,3,0
' wait play san fran sunday. beat nfc championship beat now. ',positive,0,0,0
' championship: team news: bellamy frame cardiff: team news saturdays championship... #mogganaut ',objective,0,0,0
' omg ive fucking chocolate victoria sponge fridge *oh mama, daddy, play kabaddi* ',positive,0,0,0
' maryland, early voting extended tomorrow 9pm. vote! ',objective,0,0,0
' cupid work da 1st time dont wanna friend ',negative,1,0,0
' nice play penny saturday. real problem. cougar town love game. haha. ',positive,3,0,0
' incredible pass vick kyle williams. williams jumps carr zone, 21-0 2nd. ',positive,1,0,0
' jr selected pro bowl team season yet!!!! game saturday playoffs. ',positive,1,1,0
' @vanessacaterina damn dont wanna computer. tomorrow :( harry feels control outtakes video broke ',negative,0,2,1
' @theellenshow congratulations celebrating british kid singers sophia graces rosies 1st anniversary visit show. ',positive,2,0,0
' fucking time fans. boro saturday? ',negative,0,0,0
' @karabellespn trade calvin, cj murray griffin, mccoy lloyd keeper ppr league? harvin 2nd rb lacking ',objective,0,1,0
' tomorrow... air live 9:05 wjct radio. tv taping good morning jacksonville 10:30. #excitingtimes ',positive,2,0,1
' carmine lupretazzi ',negative,0,0,0
' waiting highlight thursday night celebrity juice #nolife ',positive,2,0,0
' pierce veilrt @fazachary: irt @abityab: lagu demen bullet valentine, hbu ?? ',neutral,0,0,0
' northern lights sale tomorrow wexham cup bull sale; sale elite female holstein & jerseys! real treat sale! trick! ',positive,4,0,0
' ben bicester full chavs, well currently sat years cast jeremy kyle. uh hypocritical much? ',neutral,1,1,1
' bay area heads! ill piano yoshis san fran sunday playing dwight trible - ',objective,0,1,0
' bey performing superbowl feb. assuming material coming months hand album grammys ',neutral,0,0,0
' sick hearing ohios "must win" 2 potus! pa 2 ec votes ohio. mitt loses ohio & wins pa? huh? ',objective,0,1,0
' happy valentines day trending? ?? but... february? ',negative,1,0,0
' sunday, watch ravens browns, help support baltimore humane society! captain... ',positive,3,0,0
' yay blake! will cma baby 9 months? total class speeches blake miranda tonight. ',positive,1,0,1
' ac milan reportedly miralem pjanic join san siro january #footballfanatic ',objective,0,0,0
' mom works mother girl won homecoming queen phs friday company sweetest email. ',positive,0,0,0
' badly andy carroll. knowing derby game tomorrow, played well scored blue noses. ',positive,1,2,1
' tickets france, belgium, netherlands, germany, denmark, norway, sweden tmh tour sale tomorrow! good luck! :) ',positive,1,0,0
' @graceawilliams enjoy visit tomorrow :-) ',negative,1,0,0
' bell game tomorrow ',objective,0,1,0
' live sound webinar tomorrow 10 pst paul david hager (goo goo dolls, avril lavigne, devo) - register ',objective,2,0,0
' #tech apple ceo apologizes error-ridden map app - apple ceo tim cook apologized friday company&#039;... ',negative,0,0,0
' @meagan_cassidy jealous hair..haha sayingg ',positive,0,1,0
' @alexisnews attend @wftda champs fri/sat/sun: top 12 roller derby teams world, play indianapolis 8pm friday!!! ',positive,1,0,0
' noel fielding saturday night noel fielding, basically #please #iwillcry ',neutral,0,0,1
' @navyvet50 good taste music :) favorite band? ',positive,3,0,0
' premier league: west ham man city saturday. preview stats & interesting betting tips: ',positive,2,0,0
' @cocozzahq preordered thursday/friday midnight night pre-order, love frankie. pic.twitter.com/pp1ozzaa ',positive,1,0,0
' loving opening debates rap game kathy crowley october 20 - bruno mars ',positive,0,1,0
' @heffrondrive congratulations kendall germany 7 clock friday november 2, happy b-day ',positive,2,0,0
' @foreverflailing haha spent energy gangnam style yesterday. :3 awesome time dance wee! :d ',positive,2,0,0
' kendrick perkins worst goatee sports. ',negative,0,1,0
' fridays cnet update playing republic : apple ceo ios 6 map mess apple ceo tim cook "extremely sorr ',negative,0,1,0
' tomorrow going fun-filled day emailing people murray spring. #stressful ',positive,0,0,0
' @wakemenssoccer huge upset maryland. time tomorrow night #godeacs ',positive,0,1,1
' rugby great winter sport gaa ladies keep fitness. friday kilkenny rfc 7 ',positive,1,0,0
' 30 seconds mars mcr dead gone, will kill will earth. ',positive,2,2,0
' thoughts rnc letters secretaries state, raising ?s voting machines w/no evidence up: ',negative,0,0,0
' remembered niggas paris song. delighted! saturday! #positivetroll ',positive,0,0,0
' "avril lavigne concert tomorrow night park. sonics opening her. wanna come?" ',objective,0,0,0
' keepin nikon f3 alive strong. holla ',neutral,0,0,0
' emotionally intelligent organisation mindfulness? find @getsiyli san fran dec pls rt! ',positive,1,0,0
' takbir!! dr. mohamed morsi announced egypts 1st elected president glorious 25th jan revolution. congratulations egypt! ',positive,2,0,0
' gop set bar low 4th cycle promoting grossly un-american idea: potus elected autocrat. #civics101 ',negative,0,3,0
' @elawreads daughters understand obsessed wuthering heights. favorite books ever. ',neutral,2,0,0
' tonight!!! (wed)--mike slo-mo brenner solo opening jim white tin angel. 8pm. cmon out!!... ',objective,1,0,0
